,SchoolNamePublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,StudentTeacherRatio,Reduced Lunch,Free Lunch,Percent Lunch
126,East Wilkes High,1,0,0,0,36.226446,-80.927589,548,16.53,0.0,540.0,0.985401459854
127,Eastern Alamance High,1,0,0,1,36.113804,-79.301732,1256,18.97,54.0,412.0,0.37101910828
128,Eastern Guilford High,1,0,0,1,36.093333,-79.615268,1168,15.88,74.0,667.0,0.634417808219
129,Eastern Randolph High,1,0,0,1,35.755283,-79.616972,821,16.6,61.0,417.0,0.58221680877
130,Eastern Wayne High,1,0,0,1,35.377732,-77.88054,1051,15.01,71.0,449.0,0.494766888677
131,Edgecombe Early College High,1,0,0,0,35.87944,-77.57225,154,19.25,16.0,38.0,0.350649350649
132,Elkin High,1,0,0,1,36.249551,-80.858991,393,13.25,26.0,108.0,0.34096692112
133,Emsley A Laney High,1,0,0,1,34.298668,-77.872454,2141,18.17,133.0,791.0,0.431574030827
134,Enka High,1,0,0,1,35.529711,-82.665806,1237,17.07,110.0,500.0,0.493128536783
135,Erwin High,1,0,0,1,35.619534,-82.626405,1328,16.65,119.0,678.0,0.60015060241
136,Eugene Ashley High,1,0,0,1,34.10015,-77.911351,1874,18.86,145.0,677.0,0.4386339381
137,Fairmont High,1,0,0,1,34.472385,-79.101855,744,13.88,0.0,741.0,0.995967741935
138,Farmville Central High,1,0,0,1,35.593868,-77.568892,786,15.76,64.0,401.0,0.591603053435
139,Fike High,1,0,0,1,35.752893,-77.922225,1310,18.52,56.0,545.0,0.458778625954
140,First Flight High School,1,0,0,0,36.008836,-75.666492,807,13.85,40.0,165.0,0.254027261462
141,Flemington Academy,1,0,1,1,34.320714,-78.524991,74,6.03,0.0,69.0,0.932432432432
142,Forbush High,1,0,0,1,36.14135,-80.55634,904,15.4,57.0,295.0,0.389380530973
143,Forest Hills High,1,0,0,1,34.979287,-80.413314,937,14.86,91.0,549.0,0.68303094984
144,Forestview High,1,0,0,0,35.183439,-81.135602,1143,17.94,48.0,383.0,0.377077865267
