,SchoolNamePublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,Grade12offeredPublicSchool201415,Grade11offeredPublicSchool201415,Grade10offeredPublicSchool201415,Grade9offeredPublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,StudentTeacherRatio
107,East Carteret High,1,0,0,1,34.781690,-76.631261,1,1,1,1,596,13.90
108,East Chapel Hill High,1,0,0,0,35.961012,-79.029733,1,1,1,1,1411,16.47
109,East Columbus High,1,0,0,1,34.335906,-78.501626,1,1,1,1,465,14.09
110,East Davidson High,1,0,0,1,35.850167,-80.101925,1,1,1,1,958,17.26
111,East Duplin High,1,0,0,1,34.939216,-77.784213,1,1,1,1,995,18.14
112,East Forsyth High,1,0,0,1,36.117527,-80.150532,1,1,1,1,1899,18.14
113,East Gaston High,1,0,0,0,35.315441,-81.075626,1,1,1,1,1122,16.67
114,East Henderson High,1,0,0,1,35.297618,-82.424020,1,1,1,1,936,14.64
115,East Lincoln High,1,0,0,0,35.454121,-81.025771,1,1,1,1,924,18.09
116,East Mecklenburg High,1,0,0,1,35.176007,-80.757978,1,1,1,1,1840,16.52
117,East Montgomery High,1,0,0,1,35.339379,-79.777223,1,1,1,1,632,14.58
118,East Rowan High,1,0,0,1,35.593432,-80.423361,1,1,1,1,1055,16.28
119,East Rutherford High School,1,0,0,1,35.340594,-81.818253,1,1,1,1,714,14.76
120,East Surry High,1,0,0,1,36.394408,-80.477896,1,1,1,1,641,15.35
121,East Wake Academy,1,0,1,1,35.831971,-78.306580,1,1,1,1,1139,15.65
122,East Wake School of Arts Education and G,1,0,0,1,35.813398,-78.424721,1,1,1,1,374,13.75
123,East Wake School of Engineering,1,0,0,1,35.813366,-78.425000,1,1,1,1,372,14.65
124,East Wake School of Health Science,1,0,0,1,35.813631,-78.424914,1,1,1,1,371,15.33
125,East Wake School of Integrated Technolog,1,0,0,1,35.813429,-78.424832,1,1,1,1,325,14.01
126,East Wilkes High,1,0,0,0,36.226446,-80.927589,1,1,1,1,548,16.53
127,Eastern Alamance High,1,0,0,1,36.113804,-79.301732,1,1,1,1,1256,18.97
128,Eastern Guilford High,1,0,0,1,36.093333,-79.615268,1,1,1,1,1168,15.88
129,Eastern Randolph High,1,0,0,1,35.755283,-79.616972,1,1,1,1,821,16.60
130,Eastern Wayne High,1,0,0,1,35.377732,-77.880540,1,1,1,1,1051,15.01
131,Edgecombe Early College High,1,0,0,0,35.879440,-77.572250,1,1,1,1,154,19.25
132,Elkin High,1,0,0,1,36.249551,-80.858991,1,1,1,1,393,13.25
133,Emsley A Laney High,1,0,0,1,34.298668,-77.872454,1,1,1,1,2141,18.17
134,Enka High,1,0,0,1,35.529711,-82.665806,1,1,1,1,1237,17.07
135,Erwin High,1,0,0,1,35.619534,-82.626405,1,1,1,1,1328,16.65
136,Eugene Ashley High,1,0,0,1,34.100150,-77.911351,1,1,1,1,1874,18.86
137,Fairmont High,1,0,0,1,34.472385,-79.101855,1,1,1,1,744,13.88
138,Farmville Central High,1,0,0,1,35.593868,-77.568892,1,1,1,1,786,15.76
139,Fike High,1,0,0,1,35.752893,-77.922225,1,1,1,1,1310,18.52
140,First Flight High School,1,0,0,0,36.008836,-75.666492,1,1,1,1,807,13.85
141,Flemington Academy,1,0,1,1,34.320714,-78.524991,1,1,1,1,74,6.03
142,Forbush High,1,0,0,1,36.141350,-80.556340,1,1,1,1,904,15.40
143,Forest Hills High,1,0,0,1,34.979287,-80.413314,1,1,1,1,937,14.86
144,Forestview High,1,0,0,0,35.183439,-81.135602,1,1,1,1,1143,17.94
145,Franklin Academy,1,0,1,0,35.955650,-78.487311,1,1,1,1,1639,15.08
146,Franklin County Early College,1,0,0,0,36.086177,-78.330658,1,1,1,1,172,28.67
147,Franklin High,1,0,0,1,35.176551,-83.382383,1,1,1,1,931,14.99
148,Franklinton High,1,0,0,0,36.069620,-78.436031,1,1,1,1,1008,17.85
149,Fred T Foard High,1,0,0,1,35.617507,-81.371066,1,1,1,1,1025,17.08
150,Freedom High,1,0,0,1,35.745194,-81.720672,1,1,1,1,1178,17.98
151,Fuquay-Varina High,1,0,0,0,35.597889,-78.797234,1,1,1,1,2117,18.57
152,Garinger High,1,0,0,1,35.241104,-80.782811,1,1,1,1,1748,16.49
153,Garner High,1,1,0,1,35.710798,-78.635160,1,1,1,1,2650,18.16
154,Gaston College Preparatory,1,0,1,1,36.504587,-77.639204,1,1,1,1,1046,16.92
155,Gaston Early College High School,1,0,0,1,35.311484,-81.189418,1,1,1,1,170,20.61
156,Gates County Senior High,1,0,0,1,36.447458,-76.704504,1,1,1,1,539,12.07
157,Goldsboro High,1,0,0,1,35.386752,-77.979992,1,1,1,1,545,13.97
158,Graham High,1,0,0,1,36.076690,-79.380770,1,1,1,1,804,16.58
159,Granville Central High,1,0,0,1,36.207623,-78.687185,1,1,1,1,569,15.73
160,Granville Early College High,1,0,0,1,36.141700,-78.721306,1,1,1,1,218,31.14
161,Granville Magnet School,1,1,0,1,36.315140,-78.587491,0,0,1,1,171,14.19
162,Gray Stone Day,1,0,1,0,35.483510,-80.276340,1,1,1,1,411,14.17
163,Green Hope High,1,0,0,0,35.804992,-78.867007,1,1,1,1,2380,19.75
164,Greene Central High,1,0,0,1,35.479919,-77.670315,1,1,1,1,900,14.89
165,Greene Early College High,1,0,0,1,35.475863,-77.670521,1,1,1,1,157,20.93
166,Grimsley High,1,0,0,1,36.084338,-79.815997,1,1,1,1,1719,18.84
167,GTCC Middle College High,1,0,0,1,35.998253,-79.918162,1,1,1,1,187,12.90
