,State Name [Public School] Latest available year,School Name [Public School] 2014-15,Location Address 1 [Public School] 2014-15,Location City [Public School] 2014-15,Location ZIP [Public School] 2014-15,School Type [Public School] 2014-15,Magnet School [Public School] 2014-15,Charter School [Public School] 2014-15,Title I Eligible School [Public School] 2014-15,Title I School Status [Public School] 2014-15,Latitude [Public School] 2014-15,Longitude [Public School] 2014-15,Lowest Grade Offered [Public School] 2014-15,Highest Grade Offered [Public School] 2014-15,Grade 12 offered [Public School] 2014-15,Grade 11 offered [Public School] 2014-15,Grade 10 offered [Public School] 2014-15,Grade 9 offered [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2014-15,Grades 9-12 Students [Public School] 2014-15,Biology,English,Math
34,North Carolina,Cabarrus-Kannapolis Early Coll,1531 TRINITY CHURCH RD,CONCORD,28027,1,0,0,1,4-Eligible for Title I SWP provides no program,35.436630,-80.659001,9th Grade,13th Grade,1,1,1,1,232,227,84.7,90.0,78.3
35,North Carolina,Caldwell Career Cen Mid. Coll.,2857 HICKORY BOULEVARD,HUDSON,28638,1,0,0,1,1-Eligible for Title I TAS provides no program,35.855556,-81.485220,9th Grade,12th Grade,1,1,1,1,240,240,58.1,86.7,82.3
36,North Carolina,Caldwell Early College,2859 HICKORY BLVD SW,HUDSON,28638,1,0,0,0,6-Not eligible for either TAS or SWP,35.853817,-81.483806,9th Grade,13th Grade,1,1,1,1,385,325,80.2,86.4,95.0
37,North Carolina,Camden County High,103 US 158 W,CAMDEN,27921,1,0,0,0,6-Not eligible for either TAS or SWP,36.326910,-76.171991,9th Grade,12th Grade,1,1,1,1,460,460,60.5,76.0,62.0
38,North Carolina,CamTech High,103A US HIGHWAY 158 W,CAMDEN,27921,1,0,0,0,6-Not eligible for either TAS or SWP,36.327618,-76.172311,9th Grade,12th Grade,1,1,1,1,156,156,65.7,73.5,48.6
39,North Carolina,Cape Fear High,4762 CLINTON ROAD,FAYETTEVILLE,28301,1,0,0,1,4-Eligible for Title I SWP provides no program,35.034044,-78.762384,9th Grade,12th Grade,1,1,1,1,1535,1535,53.7,60.4,60.4
40,North Carolina,Cape Hatteras Secondary School,48576  HIGHWAY 12,BUXTON,27920,1,0,0,1,4-Eligible for Title I SWP provides no program,35.269310,-75.534300,6th Grade,12th Grade,1,1,1,1,303,167,63.0,67.4,60.0
41,North Carolina,Career Academy and Technical School,350 OLD MURDOCK RD,TROUTMAN,28166,1,0,0,0,6-Not eligible for either TAS or SWP,35.714190,-80.887581,9th Grade,12th Grade,1,1,1,1,50,50,33.3,88.9,40.0
42,North Carolina,Carolina International School,9545 POPLAR TENT ROAD,CONCORD,28027,1,0,1,0,6-Not eligible for either TAS or SWP,35.411570,-80.737721,Kindergarten,11th Grade,0,1,1,1,700,69,42.1,70.8,30.8
43,North Carolina,Carrboro High,201 ROCK HAVEN RD,CARRBORO,27510,1,0,0,0,6-Not eligible for either TAS or SWP,35.891723,-79.085455,9th Grade,12th Grade,1,1,1,1,825,825,73.1,88.6,77.6
44,North Carolina,Carson High,290 KRESS VENTURE DR,CHINA GROVE,28023,1,0,0,1,4-Eligible for Title I SWP provides no program,35.563039,-80.545691,9th Grade,12th Grade,1,1,1,1,1231,1231,60.6,55.9,44.2
45,North Carolina,Cary High,638 WALNUT ST,CARY,27511,1,0,0,1,1-Eligible for Title I TAS provides no program,35.771138,-78.766330,9th Grade,12th Grade,1,1,1,1,2396,2396,72.3,69.3,64.4
46,North Carolina,CCCA - Fair Bluff /Southeastern Campuses,4564 CHADBOURN HWY,WHITEVILLE,28472,1,0,0,1,4-Eligible for Title I SWP provides no program,34.331954,-78.782393,9th Grade,13th Grade,1,1,1,1,278,260,54.9,66.7,41.1
47,North Carolina,Cedar Ridge High,1125 NEW GRADY BROWN SCH RD,HILLSBOROUGH,27278,1,0,0,0,6-Not eligible for either TAS or SWP,36.054083,-79.126208,9th Grade,12th Grade,1,1,1,1,1163,1163,48.6,72.9,50.3
48,North Carolina,Central Academy of Technology & Arts,600 BREWER DR,MONROE,28112,1,0,0,0,6-Not eligible for either TAS or SWP,34.970940,-80.568760,9th Grade,12th Grade,1,1,1,1,802,802,93.3,94.8,95.0
49,North Carolina,Central Cabarrus High,505 HWY 49 S,CONCORD,28025,1,0,0,1,4-Eligible for Title I SWP provides no program,35.362718,-80.583852,9th Grade,12th Grade,1,1,1,1,1416,1416,54.1,58.3,49.1
50,North Carolina,Challenger Early College High,2550 HWY 70 SE,HICKORY,28602,1,0,0,1,4-Eligible for Title I SWP provides no program,35.699458,-81.288100,9th Grade,13th Grade,1,1,1,1,368,365,95.0,89.5,95.0
51,North Carolina,Chapel Hill High,1709 HIGH SCHOOL RD,CHAPEL HILL,27516,1,0,0,0,6-Not eligible for either TAS or SWP,35.946507,-79.080289,9th Grade,12th Grade,1,1,1,1,1439,1439,74.2,82.0,74.7
52,North Carolina,Charles B Aycock High,5460 US 117 NORTH,PIKEVILLE,27863,1,0,0,1,1-Eligible for Title I TAS provides no program,35.509148,-77.980071,9th Grade,12th Grade,1,1,1,1,1267,1267,60.3,58.0,48.8
