,State Name [Public School] Latest available year,School Name [Public School] 2014-15,Location Address 1 [Public School] 2014-15,Location City [Public School] 2014-15,Location ZIP [Public School] 2014-15,School Type [Public School] 2014-15,Magnet School [Public School] 2014-15,Charter School [Public School] 2014-15,Title I Eligible School [Public School] 2014-15,Title I School Status [Public School] 2014-15,Latitude [Public School] 2014-15,Longitude [Public School] 2014-15,Lowest Grade Offered [Public School] 2014-15,Highest Grade Offered [Public School] 2014-15,Grade 12 offered [Public School] 2014-15,Grade 11 offered [Public School] 2014-15,Grade 10 offered [Public School] 2014-15,Grade 9 offered [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2014-15,Grades 9-12 Students [Public School] 2014-15,Biology,English,Math
222,North Carolina,Mitchell High,416 LEDGER SCHOOL RD,BAKERSVILLE,28705,1,0,0,1,4-Eligible for Title I SWP provides no program,35.972360,-82.118481,9th Grade,12th Grade,1,1,1,1,551,551,48.6,61.5,58.9
223,North Carolina,Monroe High,1 HIGH SCHOOL DR,MONROE,28112,1,0,0,1,4-Eligible for Title I SWP provides no program,34.973920,-80.526800,9th Grade,12th Grade,1,1,1,1,1009,1009,29.0,32.1,40.5
224,North Carolina,Mooresville Senior High,659 E CENTER AVE,MOORESVILLE,28115,1,0,0,0,6-Not eligible for either TAS or SWP,35.577956,-80.801473,9th Grade,12th Grade,1,1,1,1,1787,1787,73.5,71.8,67.6
225,North Carolina,Mount Pleasant High,700 WALKER ROAD,MOUNT PLEASANT,28124,1,0,0,1,1-Eligible for Title I TAS provides no program,35.407820,-80.482360,9th Grade,12th Grade,1,1,1,1,831,831,58.6,52.5,58.4
226,North Carolina,Mountain Heritage High,333 MTN HERITAGE HS ROAD,BURNSVILLE,28714,1,0,0,1,4-Eligible for Title I SWP provides no program,35.907987,-82.333572,9th Grade,12th Grade,1,1,1,1,671,671,74.8,61.8,61.0
227,North Carolina,Murphy High,234 HIGH SCHOOL CIRCLE,MURPHY,28906,1,0,0,1,4-Eligible for Title I SWP provides no program,35.100517,-84.016370,9th Grade,12th Grade,1,1,1,1,449,449,32.7,63.6,41.3
228,North Carolina,Myers Park High,2400 COLONY RD,CHARLOTTE,28209,1,0,0,0,6-Not eligible for either TAS or SWP,35.170784,-80.833367,9th Grade,12th Grade,1,1,1,1,2762,2762,74.3,79.3,80.5
229,North Carolina,Nantahala School,213 WINDINGSTAIRS RD,TOPTON,28781,1,0,0,1,5-Eligible for Title I SWP provides SWP program,35.253472,-83.634187,Kindergarten,12th Grade,1,1,1,1,96,30,50.0,75.0,33.3
230,North Carolina,Nash Central High,4279 NASH CENTRAL HIGH ROAD,ROCKY MOUNT,27804,1,0,0,1,4-Eligible for Title I SWP provides no program,35.955821,-77.898118,9th Grade,12th Grade,1,1,1,1,1039,1039,17.0,36.3,31.4
231,North Carolina,Needham Broughton High,723 SAINT MARY'S ST,RALEIGH,27605,1,1,0,1,1-Eligible for Title I TAS provides no program,35.790330,-78.652312,9th Grade,12th Grade,1,1,1,1,2112,2112,53.9,69.4,55.8
232,North Carolina,Neuse Charter School,909 BOOKER DAIRY RD,SMITHFIELD,27577,1,0,1,1,2-Eligible for Title I TAS provides TAS program,35.530712,-78.320942,Kindergarten,12th Grade,1,1,1,1,764,162,63.3,75.0,40.0
233,North Carolina,New Bern High,4200 ACADEMIC DRIVE,NEW BERN,28562,1,0,0,1,4-Eligible for Title I SWP provides no program,35.100523,-77.115501,9th Grade,12th Grade,1,1,1,1,1697,1697,52.2,57.0,50.6
234,North Carolina,New Hanover High,1307 MARKET ST,WILMINGTON,28401,1,0,0,1,4-Eligible for Title I SWP provides no program,34.237374,-77.932373,9th Grade,12th Grade,1,1,1,1,1695,1691,52.0,62.2,48.7
235,North Carolina,Newton-Conover High,338 W 15TH STREET,NEWTON,28658,1,0,0,1,4-Eligible for Title I SWP provides no program,35.678480,-81.225066,9th Grade,12th Grade,1,1,1,1,811,811,48.9,54.6,36.9
236,North Carolina,North Brunswick High,114 SCORPION DRIVE,LELAND,28451,1,0,0,1,4-Eligible for Title I SWP provides no program,34.240530,-78.024524,9th Grade,12th Grade,1,1,1,1,1048,1048,54.4,49.4,30.2
237,North Carolina,North Buncombe High,890 CLARKS CHAPEL ROAD,WEAVERVILLE,28787,1,0,0,1,1-Eligible for Title I TAS provides no program,35.739711,-82.557604,9th Grade,12th Grade,1,1,1,1,1115,1115,64.5,65.7,57.2
238,North Carolina,North Duplin Jr Sr High,1388 WEST NC 403 HIGHWAY,MT. OLIVE,28365,1,0,0,1,4-Eligible for Title I SWP provides no program,35.134496,-78.085798,7th Grade,12th Grade,1,1,1,1,528,339,53.7,58.9,38.3
239,North Carolina,North East Carolina Prep,274 HUSKY TRAIL,TARBORO,27886,1,0,1,1,5-Eligible for Title I SWP provides SWP program,35.891794,-77.580570,Kindergarten,10th Grade,0,0,1,1,1306,201,25.5,47.7,26.7
240,North Carolina,North Edgecombe High,7589 NC 33-NW,TARBORO,27886,1,0,0,1,5-Eligible for Title I SWP provides SWP program,35.989362,-77.581588,9th Grade,12th Grade,1,1,1,1,244,244,24.5,25.4,16.7
241,North Carolina,North Gaston High,1133 RATCHFORD ROAD,DALLAS,28034,1,0,0,1,4-Eligible for Title I SWP provides no program,35.334439,-81.177503,9th Grade,12th Grade,1,1,1,1,1095,1095,53.9,47.9,32.4
242,North Carolina,North Henderson High,35 FRUITLAND ROAD,HENDERSONVILLE,28792,1,0,0,1,4-Eligible for Title I SWP provides no program,35.360987,-82.422323,9th Grade,12th Grade,1,1,1,1,1089,1089,59.6,66.5,44.9
243,North Carolina,North Iredell High,156 RAIDER ROAD,OLIN,28660,1,0,0,1,4-Eligible for Title I SWP provides no program,35.930000,-80.869350,9th Grade,12th Grade,1,1,1,1,1176,1176,50.7,45.6,46.3
244,North Carolina,North Johnston High,5915 US HWY 301 N,KENLY,27542,1,0,0,1,4-Eligible for Title I SWP provides no program,35.570990,-78.184379,9th Grade,12th Grade,1,1,1,1,751,751,52.4,56.5,45.1
245,North Carolina,North Lenoir High,2400 INSTITUTE ROAD,LA GRANGE,28551,1,0,0,0,6-Not eligible for either TAS or SWP,35.341711,-77.679325,9th Grade,12th Grade,1,1,1,1,933,933,19.2,45.7,22.6
246,North Carolina,North Lincoln High,2737 LEE LAWING ROAD,LINCOLNTON,28092,1,0,0,0,6-Not eligible for either TAS or SWP,35.533586,-81.119675,9th Grade,12th Grade,1,1,1,1,974,974,71.3,72.8,71.7
247,North Carolina,North Mecklenburg High,11201 OLD STATESVILLE RD,HUNTERSVILLE,28078,1,0,0,1,4-Eligible for Title I SWP provides no program,35.372678,-80.834877,9th Grade,12th Grade,1,1,1,1,1881,1881,48.0,56.0,43.9
248,North Carolina,North Moore High,1504 NORTH MOORE RD,ROBBINS,27325,1,0,0,1,4-Eligible for Title I SWP provides no program,35.467590,-79.553741,9th Grade,12th Grade,1,1,1,1,640,640,42.8,55.7,58.1
249,North Carolina,North Pitt High,5659 NC 11 NORTH,BETHEL,27812,1,0,0,1,4-Eligible for Title I SWP provides no program,35.747502,-77.363120,9th Grade,12th Grade,1,1,1,1,917,917,27.6,31.3,58.7
250,North Carolina,North Rowan High,300 NORTH WHITEHEAD AVE,SPENCER,28159,1,0,0,1,4-Eligible for Title I SWP provides no program,35.697467,-80.429741,9th Grade,12th Grade,1,1,1,1,698,698,14.2,30.0,22.7
251,North Carolina,North Stanly High,40206 US HWY 52 N,NEW LONDON,28127,1,0,0,1,4-Eligible for Title I SWP provides no program,35.427101,-80.212112,9th Grade,12th Grade,1,1,1,1,593,593,42.3,54.9,45.6
252,North Carolina,North Wilkes High,2986 TRAPHILL RD,HAYS,28635,1,0,0,1,1-Eligible for Title I TAS provides no program,36.282614,-81.098724,9th Grade,12th Grade,1,1,1,1,736,736,62.5,48.0,42.2
253,North Carolina,Northampton County High School,750 NCHS ROAD,CONWAY,27820,1,0,0,1,5-Eligible for Title I SWP provides SWP program,36.427675,-77.316466,9th Grade,12th Grade,1,1,1,1,524,524,24.4,29.2,19.4
254,North Carolina,Northeast Regional School - Biotech/Agri,1215 SAINT ANDREWS STREET,JAMESVILLE,27846,3,0,1,0,6-Not eligible for either TAS or SWP,35.810041,-76.897289,9th Grade,11th Grade,0,1,1,1,165,165,70.5,75.8,67.2
255,North Carolina,Northeastern High,963 OAK STUMP RD,ELIZABETH CITY,27909,1,0,0,1,4-Eligible for Title I SWP provides no program,36.288058,-76.252967,9th Grade,12th Grade,1,1,1,1,849,849,36.1,57.0,34.0
256,North Carolina,Northern High,117 TOM WILKINSON ROAD,DURHAM,27712,1,0,0,1,4-Eligible for Title I SWP provides no program,36.094068,-78.912479,9th Grade,12th Grade,1,1,1,1,1448,1448,32.3,41.5,35.7
257,North Carolina,Northern Nash High,4230 GREEN HILLS ROAD,ROCKY MOUNT,27804,1,0,0,1,4-Eligible for Title I SWP provides no program,35.998742,-77.891468,9th Grade,12th Grade,1,1,1,1,1119,1119,28.2,47.1,35.3
258,North Carolina,Northern Vance High,293 WARRENTON ROAD,HENDERSON,27537,1,0,0,1,4-Eligible for Title I SWP provides no program,36.349890,-78.378540,9th Grade,12th Grade,1,1,1,1,925,925,22.4,32.0,22.8
259,North Carolina,Northside High,7868 FREE UNION CHURCH ROAD,PINETOWN,27865,1,0,0,1,4-Eligible for Title I SWP provides no program,35.536258,-76.727890,9th Grade,12th Grade,1,1,1,1,472,472,69.5,56.0,55.7
260,North Carolina,Northside High,365 COMMONS DRIVE SOUTH,JACKSONVILLE,28546,1,0,0,1,4-Eligible for Title I SWP provides no program,34.791108,-77.388387,9th Grade,12th Grade,1,1,1,1,1109,1109,69.5,56.0,55.7
261,North Carolina,Northwest Cabarrus High,5130 NW CABARRUS DRIVE,CONCORD,28027,1,0,0,1,4-Eligible for Title I SWP provides no program,35.453406,-80.665407,9th Grade,12th Grade,1,1,1,1,1198,1198,57.3,62.2,50.6
262,North Carolina,Northwest Halifax High,8492 HWY 48,LITTLETON,27850,1,0,0,1,5-Eligible for Title I SWP provides SWP program,36.386845,-77.789656,9th Grade,12th Grade,1,1,1,1,468,468,21.5,30.3,29.7
263,North Carolina,Northwest School of the Arts,1415 BEATTIES FORD RD,CHARLOTTE,28216,1,1,0,1,4-Eligible for Title I SWP provides no program,35.257129,-80.856677,6th Grade,12th Grade,1,1,1,1,1019,568,82.3,92.8,81.1
264,North Carolina,Northwood High,310 NORTHWOOD HIGH SCHOOL ROAD,PITTSBORO,27312,1,0,0,0,6-Not eligible for either TAS or SWP,35.756814,-79.173374,9th Grade,12th Grade,1,1,1,1,1284,1284,70.8,68.9,60.8
265,North Carolina,NRM Early College High School,530 NORTH OLD CARRIAGE ROAD,ROCKY MOUNT,27804,1,0,0,1,4-Eligible for Title I SWP provides no program,35.977713,-77.898834,9th Grade,13th Grade,1,1,1,1,251,213,71.1,87.8,71.9
266,North Carolina,Ocracoke School,120 SCHOOLHOUSE RD,OCRACOKE,27960,1,0,0,1,5-Eligible for Title I SWP provides SWP program,35.112153,-75.978434,Prekindergarten,12th Grade,1,1,1,1,160,39,70.6,85.0,77.8
267,North Carolina,Olympic High - Biotech Health Pub Admin,4301 SANDY PORTER RD SUITE E,CHARLOTTE,28273,1,0,0,1,4-Eligible for Title I SWP provides no program,35.158257,-80.952964,9th Grade,12th Grade,1,1,1,1,521,521,51.8,59.6,50.0
268,North Carolina,Olympic TEAM High School,4301 SANDY PORTER RD SUITE A,CHARLOTTE,28273,1,0,0,1,4-Eligible for Title I SWP provides no program,35.158257,-80.952964,9th Grade,12th Grade,1,1,1,1,150,150,82.1,66.7,49.0
269,North Carolina,Olympic High - Renaissance School,4301 SANDY PORTER RD SUITE D,CHARLOTTE,28273,1,0,0,1,4-Eligible for Title I SWP provides no program,35.157860,-80.952408,9th Grade,12th Grade,1,1,1,1,548,548,58.7,69.2,39.4
270,North Carolina,Olympic High-Leadership and Development,4301 SANDY PORTER RD SUITE C,CHARLOTTE,28273,1,0,0,1,4-Eligible for Title I SWP provides no program,35.158257,-80.952964,9th Grade,12th Grade,1,1,1,1,608,608,34.0,39.0,26.9
271,North Carolina,Olympic High-Math Eng Tech Science,4301 SANDY PORTER RD SUITE B,CHARLOTTE,28273,1,0,0,1,1-Eligible for Title I TAS provides no program,35.158257,-80.952964,9th Grade,12th Grade,1,1,1,1,607,607,72.4,77.2,62.6
272,North Carolina,Orange High,500 ORANGE HIGH RD,HILLSBOROUGH,27278,1,0,0,0,6-Not eligible for either TAS or SWP,36.092870,-79.094704,9th Grade,12th Grade,1,1,1,1,1305,1305,52.4,56.6,53.0
273,North Carolina,Overhills High,2495 RAY ROAD,SPRING LAKE,28390,1,0,0,1,4-Eligible for Title I SWP provides no program,35.245390,-78.970331,9th Grade,12th Grade,1,1,1,1,1840,1840,31.3,53.6,32.8
274,North Carolina,Owen High,99 LAKE EDEN ROAD,BLACK MOUNTAIN,28711,1,0,0,1,4-Eligible for Title I SWP provides no program,35.618887,-82.373743,9th Grade,12th Grade,1,1,1,1,779,779,56.9,64.9,42.6
275,North Carolina,PACE Academy,308 NC 54,CARRBORO,27510,1,0,1,1,5-Eligible for Title I SWP provides SWP program,35.908430,-79.089971,9th Grade,12th Grade,1,1,1,1,111,111,11.4,31.0,5.0
276,North Carolina,Pamlico County High,601 MAIN STREET,BAYBORO,28515,1,0,0,1,4-Eligible for Title I SWP provides no program,35.142568,-76.779219,9th Grade,12th Grade,1,1,1,1,475,475,54.0,52.5,56.3
277,North Carolina,Panther Creek High,6770 MCCRIMMON PARKWAY,CARY,27519,1,0,0,0,6-Not eligible for either TAS or SWP,35.830904,-78.889120,9th Grade,12th Grade,1,1,1,1,2893,2893,83.2,84.3,77.9
278,North Carolina,Parkwood High,3220 PARKWOOD SCHOOL RD,MONROE,28112,1,0,0,1,4-Eligible for Title I SWP provides no program,34.902136,-80.631876,9th Grade,12th Grade,1,1,1,1,1006,1006,46.6,65.4,52.0
279,North Carolina,Pasquotank County High,1064 NORTHSIDE ROAD,ELIZABETH CITY,27909,1,0,0,1,4-Eligible for Title I SWP provides no program,36.364359,-76.275388,9th Grade,12th Grade,1,1,1,1,773,773,32.0,53.1,31.4
280,North Carolina,Pender Early College High,100 EAST INDUSTRIAL DRIVE,BURGAW,28425,1,0,0,1,4-Eligible for Title I SWP provides no program,34.543740,-77.922781,8th Grade,13th Grade,1,1,1,1,226,201,87.2,87.8,84.9
281,North Carolina,Pender High,5380 NC HWY 53 W,BURGAW,28425,1,0,0,1,4-Eligible for Title I SWP provides no program,34.545859,-78.012328,9th Grade,12th Grade,1,1,1,1,642,610,37.5,49.3,43.8
282,North Carolina,Performance Learning Center,1400 N. GRAHAM ST,CHARLOTTE,28206,1,0,0,1,4-Eligible for Title I SWP provides no program,35.241588,-80.833761,9th Grade,12th Grade,1,1,1,1,152,152,38.9,57.6,53.8
283,North Carolina,Performance Learning Center,133 STONECREST CIRCLE SW,CONCORD,28027,1,0,0,1,4-Eligible for Title I SWP provides no program,35.364940,-80.594021,9th Grade,12th Grade,1,1,1,1,140,140,38.9,57.6,53.8
284,North Carolina,Perquimans County High,305 EDENTON ROAD ST,HERTFORD,27944,1,0,0,1,4-Eligible for Title I SWP provides no program,36.184421,-76.474364,9th Grade,12th Grade,1,1,1,1,521,521,45.2,46.3,41.6
285,North Carolina,Person High,1010 RIDGE RD,ROXBORO,27573,1,0,0,1,4-Eligible for Title I SWP provides no program,36.411139,-78.981009,9th Grade,12th Grade,1,1,1,1,1351,1351,44.5,55.2,40.7
286,North Carolina,Phillip O Berry Academy of Technology,1430 ALLEGHANY ST,CHARLOTTE,28208,1,1,0,1,4-Eligible for Title I SWP provides no program,35.239231,-80.891683,9th Grade,12th Grade,1,1,1,1,1714,1714,63.9,76.9,72.8
287,North Carolina,Piedmont Community Charter School,2970 SOUTH NEW HOPE RD,GASTONIA,28056,1,0,1,1,2-Eligible for Title I TAS provides TAS program,35.236580,-81.115131,Kindergarten,12th Grade,1,1,1,1,1225,303,65.8,74.0,61.5
288,North Carolina,Piedmont High,3006 SIKES MILL ROAD,MONROE,28110,1,0,0,0,6-Not eligible for either TAS or SWP,35.095526,-80.491614,9th Grade,12th Grade,1,1,1,1,1244,1244,79.7,79.7,78.0
289,North Carolina,Pine Forest High,525 ANDREWS ROAD,FAYETTEVILLE,28311,1,0,0,1,4-Eligible for Title I SWP provides no program,35.154703,-78.886659,9th Grade,12th Grade,1,1,1,1,1589,1589,46.0,59.1,48.9
290,North Carolina,Pine Lake Preparatory,104 YELLOW WOOD CIRCLE,MOORESVILLE,28115,1,0,1,0,6-Not eligible for either TAS or SWP,35.535410,-80.846326,Kindergarten,12th Grade,1,1,1,1,1678,513,80.1,87.0,82.2
291,North Carolina,Pinecrest High,250 VOIT GILMORE LANE,SOUTHERN PINES,28387,1,0,0,0,6-Not eligible for either TAS or SWP,35.184846,-79.434589,9th Grade,12th Grade,1,1,1,1,2149,2149,57.4,66.1,55.4
292,North Carolina,Pisgah High,1 BLACK BEAR DRIVE,CANTON,28716,1,0,0,1,4-Eligible for Title I SWP provides no program,35.521533,-82.841645,9th Grade,12th Grade,1,1,1,1,1013,1013,53.8,66.4,55.8
293,North Carolina,Plymouth High,800 E MAIN ST,PLYMOUTH,27962,1,0,0,1,5-Eligible for Title I SWP provides SWP program,35.870311,-76.738687,9th Grade,12th Grade,1,1,1,1,359,359,20.6,28.4,28.9
294,North Carolina,Polk County Early College,1545 EAST NC 108 HWY,COLUMBUS,28722,1,0,0,1,4-Eligible for Title I SWP provides no program,35.265258,-82.185298,9th Grade,13th Grade,1,1,1,1,63,58,71.4,77.8,76.5
295,North Carolina,Polk County High School,1681 EAST NC 108 HWY,COLUMBUS,28722,1,0,0,1,4-Eligible for Title I SWP provides no program,35.265613,-82.185170,9th Grade,12th Grade,1,1,1,1,669,669,57.0,69.1,71.3
296,North Carolina,Porter Ridge High School,2839 RIDGE ROAD,INDIAN TRAIL,28079,1,0,0,0,6-Not eligible for either TAS or SWP,35.090563,-80.573888,9th Grade,12th Grade,1,1,1,1,1591,1591,63.7,82.5,58.9
297,North Carolina,Princeton High,101 DR DONNIE H JONES JR BLVD,PRINCETON,27569,1,0,0,1,4-Eligible for Title I SWP provides no program,35.468050,-78.157301,6th Grade,12th Grade,1,1,1,1,960,519,57.4,68.1,45.1
298,North Carolina,Providence High,1800 PINEVILLE-MATTHEWS RD,CHARLOTTE,28270,1,0,0,0,6-Not eligible for either TAS or SWP,35.110344,-80.763887,9th Grade,12th Grade,1,1,1,1,1991,1991,89.7,93.3,89.8
299,North Carolina,PSRC Early College at RCC,5160 FAYETTEVILLE ROAD,LUMBERTON,28360,1,0,0,1,4-Eligible for Title I SWP provides no program,34.675854,-79.007431,9th Grade,13th Grade,1,1,1,1,198,171,95.0,70.7,93.9
300,North Carolina,Purnell Swett High,11344 DEEP BRANCH ROAD,PEMBROKE,28372,1,0,0,1,4-Eligible for Title I SWP provides no program,34.696479,-79.245787,9th Grade,12th Grade,1,1,1,1,1799,1799,33.0,37.5,31.4
301,North Carolina,Queen's Grant Community School,6400 MATTHEWS MINT HILL ROAD,MINT HILL,28227,1,0,1,1,2-Eligible for Title I TAS provides TAS program,35.165880,-80.662061,Kindergarten,12th Grade,1,1,1,1,1213,455,32.7,61.9,59.3
302,North Carolina,R-S Central High School,641 HWY 221 NORTH,RUTHERFORDTON,28139,1,0,0,1,4-Eligible for Title I SWP provides no program,35.328801,-81.952721,9th Grade,12th Grade,1,1,1,1,885,885,51.1,44.4,32.6
303,North Carolina,Raleigh Charter High School,1307 GLENWOOD AVENUE,RALEIGH,27605,1,0,1,0,6-Not eligible for either TAS or SWP,35.796050,-78.647481,9th Grade,12th Grade,1,1,1,1,559,559,95.0,95.0,95.0
304,North Carolina,Red Springs High,509 N VANCE STREET,RED SPRINGS,28377,1,0,0,1,4-Eligible for Title I SWP provides no program,34.822956,-79.185736,9th Grade,12th Grade,1,1,1,1,761,761,71.6,36.8,46.1
305,North Carolina,Reid Ross Classical High,3200 RAMSEY STREET,FAYETTEVILLE,28301,1,0,0,1,4-Eligible for Title I SWP provides no program,35.102386,-78.876699,9th Grade,12th Grade,1,1,1,1,320,320,34.4,65.5,29.9
306,North Carolina,Reynolds High,1 ROCKET DRIVE,ASHEVILLE,28803,1,0,0,1,4-Eligible for Title I SWP provides no program,35.546793,-82.477085,9th Grade,12th Grade,1,1,1,1,1348,1348,63.3,68.8,68.9
307,North Carolina,Richlands High,8100 RICHLANDS HWY,RICHLANDS,28574,1,0,0,0,6-Not eligible for either TAS or SWP,34.891020,-77.545191,9th Grade,12th Grade,1,1,1,1,1156,1156,52.5,56.5,47.8
308,North Carolina,Richmond Early College High,1042 W HAMLET AVE,HAMLET,28345,1,0,0,1,4-Eligible for Title I SWP provides no program,34.902622,-79.712861,9th Grade,13th Grade,1,1,1,1,214,200,86.3,78.4,81.1
309,North Carolina,Richmond Senior High,838 US 1 NORTH,ROCKINGHAM,28379,1,0,0,1,4-Eligible for Title I SWP provides no program,34.956050,-79.704291,10th Grade,12th Grade,1,1,1,0,1436,1436,42.1,36.7,5.0
310,North Carolina,Riverside High,3218 ROSE OF SHARON ROAD,DURHAM,27712,1,0,0,1,4-Eligible for Title I SWP provides no program,36.066147,-78.943704,9th Grade,12th Grade,1,1,1,1,1811,1811,27.9,49.7,49.0
311,North Carolina,Riverside High,1260 GODWIN AVE,WILLIAMSTON,27892,1,0,0,1,1-Eligible for Title I TAS provides no program,35.836088,-77.069054,9th Grade,12th Grade,1,1,1,1,561,561,27.9,49.7,49.0
312,North Carolina,Roanoke Rapids High,800 HAMILTON STREET,ROANOKE RAPIDS,27870,1,0,0,1,4-Eligible for Title I SWP provides no program,36.458870,-77.653810,9th Grade,12th Grade,1,1,1,1,928,928,47.1,56.4,31.9
313,North Carolina,Roanoke Valley Early College,100 COLLEGE DR,WELDON,27890,1,0,0,1,5-Eligible for Title I SWP provides SWP program,36.427030,-77.615101,8th Grade,13th Grade,1,1,1,1,183,155,66.0,60.9,79.4
314,North Carolina,Robbinsville High,301 SWEETWATER ROAD,ROBBINSVILLE,28771,1,0,0,1,4-Eligible for Title I SWP provides no program,35.329376,-83.797033,9th Grade,12th Grade,1,1,1,1,381,364,42.3,51.9,32.4
315,North Carolina,Roberson High,250 OVERLOOK ROAD,ASHEVILLE,28803,1,0,0,1,1-Eligible for Title I TAS provides no program,35.485946,-82.535064,9th Grade,12th Grade,1,1,1,1,1591,1591,61.3,73.0,63.8
316,North Carolina,Robert L. Patton High School,701 ENOLA ROAD,MORGANTON,28655,1,0,0,1,4-Eligible for Title I SWP provides no program,35.702947,-81.669989,9th Grade,12th Grade,1,1,1,1,1017,1017,44.3,58.6,64.6
317,North Carolina,Rocky Mount High,1400 BETHLEHEM ROAD,ROCKY MOUNT,27803,1,0,0,1,4-Eligible for Title I SWP provides no program,35.939030,-77.834861,9th Grade,12th Grade,1,1,1,1,1280,1280,32.1,37.9,28.8
318,North Carolina,Rocky Mount Preparatory,3334 BISHOP ROAD,ROCKY MOUNT,27804,1,0,1,1,5-Eligible for Title I SWP provides SWP program,36.015609,-77.779184,Kindergarten,12th Grade,1,1,1,1,1278,317,30.8,44.4,30.4
319,North Carolina,Rocky River High,10505 CLEAR CREEK COMMERCE DR,MINT HILL,28227,1,0,0,1,4-Eligible for Title I SWP provides no program,35.214252,-80.640044,9th Grade,12th Grade,1,1,1,1,1710,1710,36.8,53.0,37.7
320,North Carolina,Rolesville High,1099 EAST YOUNG ST,ROLESVILLE,27571,1,0,0,1,4-Eligible for Title I SWP provides no program,35.906782,-78.442129,9th Grade,11th Grade,0,1,1,1,1200,1200,41.5,56.5,42.3
321,North Carolina,Rosewood High,900 ROSEWOOD ROAD,GOLDSBORO,27530,1,0,0,1,1-Eligible for Title I TAS provides no program,35.416395,-78.075780,9th Grade,12th Grade,1,1,1,1,541,541,54.9,46.5,48.2
322,North Carolina,Rosman High,749 PICKENS HWY,ROSMAN,28772,1,0,0,1,4-Eligible for Title I SWP provides no program,35.143267,-82.820547,9th Grade,12th Grade,1,1,1,1,356,356,63.2,61.2,53.5
323,North Carolina,Rowan Co Early College,1333 JAKE ALEXANDER BLVD S,SALISBURY,28146,1,0,0,1,4-Eligible for Title I SWP provides no program,35.641639,-80.477842,9th Grade,12th Grade,1,1,1,1,225,225,60.7,75.0,75.0
324,North Carolina,Roxboro Community School,115 LAKE DRIVE,ROXBORO,27573,1,0,1,1,5-Eligible for Title I SWP provides SWP program,36.392617,-78.979302,6th Grade,12th Grade,1,1,1,1,704,378,87.3,87.8,80.5
325,North Carolina,Rutherford Early College High School,286 ICC LOOP ROAD,SPINDALE,28160,1,0,0,1,4-Eligible for Title I SWP provides no program,35.358180,-81.924970,9th Grade,13th Grade,1,1,1,1,169,169,90.9,86.5,75.5
326,North Carolina,S Granville HS Of Health Life Sciences,701 N CRESCENT DR,CREEDMOOR,27522,1,0,0,0,6-Not eligible for either TAS or SWP,36.123129,-78.674614,9th Grade,12th Grade,1,1,1,1,455,455,50.4,53.7,24.6
327,North Carolina,S Granville HS of Integ Tech & Lead,701 N CRESCENT DR,CREEDMOOR,27522,1,0,0,0,6-Not eligible for either TAS or SWP,36.122887,-78.674378,9th Grade,12th Grade,1,1,1,1,462,462,38.8,39.1,25.0
328,North Carolina,Saint Pauls High,648 NORTH STAGE RD,SAINT PAULS,28384,1,0,0,1,4-Eligible for Title I SWP provides no program,34.812200,-78.977300,9th Grade,12th Grade,1,1,1,1,957,957,40.0,40.9,39.1
329,North Carolina,Saint Stephens High,3205 34TH STREET DRIVE NE,HICKORY,28601,1,0,0,1,4-Eligible for Title I SWP provides no program,35.772116,-81.269091,9th Grade,12th Grade,1,1,1,1,1257,1257,53.8,67.6,53.8
330,North Carolina,Salisbury High,500 LINCOLNTON RD,SALISBURY,28144,1,0,0,1,4-Eligible for Title I SWP provides no program,35.664761,-80.484917,9th Grade,12th Grade,1,1,1,1,813,813,33.3,41.2,29.0
331,North Carolina,Sampson Early College High,1801 SUNSET AVE,CLINTON,28329,1,0,0,1,4-Eligible for Title I SWP provides no program,34.990867,-78.358889,9th Grade,13th Grade,1,1,1,1,246,211,68.9,56.7,75.8
332,North Carolina,Sanderson High,5500 DIXON DRIVE,RALEIGH,27609,1,0,0,0,6-Not eligible for either TAS or SWP,35.861057,-78.647282,9th Grade,12th Grade,1,1,1,1,2002,2002,63.2,65.3,51.1
333,North Carolina,SandHoke Early College High,1110 EAST CENTRAL AVENUE,RAEFORD,28376,1,0,0,1,4-Eligible for Title I SWP provides no program,34.976560,-79.205471,9th Grade,13th Grade,1,1,1,1,318,306,61.5,77.5,60.8
334,North Carolina,School of Inquiry and Life Sciences,419 MCDOWELL STREET,ASHEVILLE,28803,1,0,0,0,6-Not eligible for either TAS or SWP,35.572668,-82.552301,9th Grade,12th Grade,1,1,1,1,299,299,85.0,94.3,68.9
335,North Carolina,Scotland Early College High,1700 DOGWOOD MILE,LAURINBURG,28352,1,0,0,1,4-Eligible for Title I SWP provides no program,34.743680,-79.480121,9th Grade,13th Grade,1,1,1,1,217,192,91.7,84.1,88.6
336,North Carolina,Scotland High School,1000 WEST CHURCH STREET,LAURINBURG,28352,1,0,0,1,4-Eligible for Title I SWP provides no program,34.778916,-79.477410,9th Grade,12th Grade,1,1,1,1,1581,1581,38.4,39.6,55.2
337,North Carolina,Seventy-First High,6764 RAEFORD ROAD,FAYETTEVILLE,28304,1,0,0,1,4-Eligible for Title I SWP provides no program,35.039171,-79.005464,9th Grade,12th Grade,1,1,1,1,1635,1635,37.3,44.5,32.0
