School Name,State Name [Public School] Latest available year,Pupil/Teacher Ratio [Public School] 2014-15
CEDAR FORK ELEMENTARY,North Carolina,16.26
CEDAR GROVE ELEMENTARY,North Carolina,18.70
CEDAR GROVE MIDDLE,North Carolina,13.77
CEDAR RIDGE ELEMENTARY,North Carolina,15.74
CEDAR RIDGE HIGH,North Carolina,15.71
CELESTE HENKEL ELEMENTARY,North Carolina,15.23
CENTENNIAL CAMPUS MIDDLE,North Carolina,14.22
CENTER FOR INNOVATIVE LEARNING,North Carolina,3.47
CENTRAL ACADEMY OF TECHNOLOGY & ARTS,North Carolina,15.48
CENTRAL CABARRUS HIGH,North Carolina,15.99
CENTRAL DAVIDSON HIGH,North Carolina,17.53
CENTRAL DAVIDSON MIDDLE,North Carolina,16.66
CENTRAL DAVIE ACADEMY,North Carolina,2.40
CENTRAL ELEMENTARY,North Carolina,14.55
CENTRAL ELEMENTARY,North Carolina,11.42
CENTRAL ELEMENTARY,North Carolina,14.51
CENTRAL ELEMENTARY,North Carolina,9.39
CENTRAL ELEMENTARY,North Carolina,17.69
CENTRAL ELEMENTARY,North Carolina,16.39
CENTRAL ELEMENTARY,North Carolina,19.80
CENTRAL ELEMENTARY,North Carolina,10.82
CENTRAL HAYWOOD HIGH,North Carolina,5.28
CENTRAL MIDDLE,North Carolina,13.13
CENTRAL MIDDLE,North Carolina,14.49
CENTRAL MIDDLE,North Carolina,15.90
CENTRAL PARK SCHOOL FOR CHILD,North Carolina,11.62
CENTRAL WILKES MIDDLE,North Carolina,17.96
CERRO GORDO ELEMENTARY,North Carolina,15.96
CHADBOURN ELEMENTARY,North Carolina,15.10
CHADBOURN MIDDLE,North Carolina,11.03
CHALLENGER EARLY COLLEGE HIGH,North Carolina,26.29
CHALONER MIDDLE,North Carolina,16.13
CHANTILLY MONTESSORI,North Carolina,18.03
CHAPEL GROVE ELEMENTARY,North Carolina,16.42
CHAPEL HILL HIGH,North Carolina,15.74
CHARITY MIDDLE,North Carolina,16.22
CHARLES B AYCOCK HIGH,North Carolina,17.85
CHARLES E BOGER ELEMENTARY,North Carolina,16.35
CHARLES ENGLAND ELEMENTARY SCHOOL,North Carolina,16.16
CHARLES H DARDEN MIDDLE,North Carolina,13.59
CHARLES H TUTTLE ELEMENTARY,North Carolina,16.82
CHARLES P MURRAY MIDDLE,North Carolina,16.87
CHARLES W MCCRARY ELEMENTARY,North Carolina,12.06
CHARLES W STANFORD MIDDLE,North Carolina,15.31
CHARLOTTE CHOICE CHARTER,North Carolina,19.64
CHARLOTTE LAB SCHOOL,NORTH CAROLINA,†
CHARLOTTE LEARNING ACADEMY,North Carolina,14.60
CHARLOTTE SECONDARY,North Carolina,11.81
CHARTER DAY SCHOOL,North Carolina,19.24
CHASE HIGH SCHOOL,North Carolina,16.40
CHASE MIDDLE SCHOOL,North Carolina,16.58
CHATHAM CENTRAL HIGH,North Carolina,14.16
CHATHAM CHARTER,North Carolina,14.97
CHATHAM MIDDLE,North Carolina,14.36
CHEROKEE EXTENSION SCHOOL,North Carolina,21.75
CHERRYVILLE ELEMENTARY,North Carolina,16.73
CHERRYVILLE HIGH,North Carolina,14.37
CHESTERFIELD ELEMENTARY,North Carolina,12.64
CHESTNUT GROVE MIDDLE,North Carolina,15.69
CHICOD,North Carolina,14.76
CHILDERS ELEMENTARY,North Carolina,14.44
CHILDREN'S VILLAGE ACADEMY,North Carolina,27.77
CHILDRENS CENTER,North Carolina,3.77
CHINA GROVE ELEMENTARY,North Carolina,16.31
CHINA GROVE MIDDLE,North Carolina,17.33
CHINQUAPIN ELEMENTARY,North Carolina,15.86
CHOCOWINITY MIDDLE,North Carolina,14.34
CHOCOWINITY PRIMARY,North Carolina,13.45
CHOWAN MIDDLE,North Carolina,13.59
CHURCHLAND ELEMENTARY,North Carolina,17.35
CIS ACADEMY,North Carolina,13.59
CITY OF MEDICINE ACADEMY,North Carolina,13.66
CLARA J PECK ELEMENTARY,North Carolina,15.33
CLAREMONT ELEMENTARY,North Carolina,14.70
CLARKE ELEMENTARY,North Carolina,12.87
CLARKTON SCHOOL OF DISCOVERY,North Carolina,14.21
CLAXTON ELEMENTARY,North Carolina,15.18
CLAXTON ELEMENTARY,North Carolina,16.46
CLAYTON HIGH,North Carolina,17.69
CLAYTON MIDDLE,North Carolina,16.14
CLEAR CREEK ELEMENTARY,North Carolina,17.23
CLEAR CREEK ELEMENTARY,North Carolina,15.35
CLEARMONT ELEMENTARY,North Carolina,15.33
CLEMENT ELEMENTARY,North Carolina,15.23
CLEMMONS ELEMENTARY,North Carolina,16.54
CLEMMONS MIDDLE SCHOOL,North Carolina,17.22
CLEVELAND ECHS,North Carolina,32.94
CLEVELAND ELEMENTARY,North Carolina,15.32
CLEVELAND ELEMENTARY,North Carolina,17.00
CLEVELAND HIGH,North Carolina,18.26
CLEVELAND MIDDLE,North Carolina,18.17
CLIFFDALE ELEMENTARY,North Carolina,12.90
CLIFFSIDE ELEMENTARY SCHOOL,North Carolina,14.45
CLINTON HIGH,North Carolina,15.99
CLOVER GARDEN,North Carolina,17.97
CLOVERLEAF ELEMENTARY,North Carolina,15.38
CLUB BOULEVARD ELEMENTARY,North Carolina,15.34
CLYDE CAMPBELL ELEMENTARY,North Carolina,15.62
CLYDE ELEMENTARY,North Carolina,13.08
CLYDE ERWIN ELEMENTARY,North Carolina,15.75
COASTAL ACADEMY FOR TECHNOLOGY AND SCIEN,North Carolina,†
COATS ELEMENTARY,North Carolina,14.69
COATS-ERWIN MIDDLE,North Carolina,16.17
COCHRANE COLLEGIATE ACADEMY,North Carolina,14.51
CODDLE CREEK ELEMENTARY,North Carolina,17.26
COKER-WIMBERLY ELEMENTARY,North Carolina,14.31
COLERAIN ELEMENTARY,North Carolina,14.06
COLERIDGE ELEMENTARY,North Carolina,13.72
COLFAX ELEMENTARY,North Carolina,17.83
COLLABORATIVE COLLEGE FOR TECHNOLOGY,North Carolina,25.32
COLLEGE LAKES ELEMENTARY,North Carolina,12.55
COLLEGE PARK ELEMENTARY,North Carolina,12.99
COLLEGE PREP AND LEADERSHIP ACADEMY,North Carolina,20.26
COLLEGE ROAD EARLY CHILDHOOD CENTER,NORTH CAROLINA,17.17
COLLETTSVILLE SCHOOL,North Carolina,15.74
COLLINSWOOD LANGUAGE ACADEMY,North Carolina,15.37
COLTRANE-WEBB ELEMENTARY,North Carolina,15.08
COLUMBIA HIGH,North Carolina,9.86
COLUMBIA MIDDLE,North Carolina,11.49
COLUMBUS CHARTER SCHOOL,North Carolina,22.44
COMBS ELEMENTARY,North Carolina,16.09
COMFORT ELEMENTARY,North Carolina,15.64
COMMONWEALTH HIGH,North Carolina,44.20
COMMUNITY CHARTER SCHOOL,North Carolina,13.37
COMMUNITY HIGH SCHOOL,North Carolina,6.70
COMMUNITY HOUSE MIDDLE,North Carolina,21.56
COMMUNITY SCHOOL OF DAVIDSON,North Carolina,14.61
CONCORD HIGH,North Carolina,15.82
CONCORD MIDDLE,North Carolina,14.87
CONCRETE ROSES STEM ACADEMY,North Carolina,†
CONN ELEMENTARY,North Carolina,13.53
CONOVER SPECIAL EDUCATION,North Carolina,7.19
CONTENTNEA-SAVANNAH SCHOOL,North Carolina,17.15
CONWAY MIDDLE,North Carolina,16.94
COOK ELEMENTARY,North Carolina,10.73
COOL SPRING ELEMENTARY,North Carolina,15.14
COOLEEMEE ELEMENTARY,North Carolina,13.35
COOPER ELEMENTARY,North Carolina,13.18
COOPERS ELEMENTARY,North Carolina,17.82
COPELAND ELEMENTARY,North Carolina,14.86
CORDOVA SCHOOL,North Carolina,9.33
CORINTH HOLDERS HIGH,North Carolina,18.40
CORINTH-HOLDERS ELEMENTARY,North Carolina,14.28
CORNATZER ELEMENTARY,North Carolina,13.18
CORNELIUS ELEMENTARY,North Carolina,18.48
CORNERSTONE CHARTER ACADEMY-CFA,North Carolina,18.15
CORRIHER LIPE MIDDLE,North Carolina,16.30
CORVIAN COMMUNITY SCHOOL,North Carolina,17.57
COSTNER ELEMENTARY,North Carolina,17.99
COTSWOLD ELEMENTARY,North Carolina,16.53
COULWOOD MIDDLE,North Carolina,15.20
COURTNEY ELEMENTARY,North Carolina,15.53
COVE CREEK ELEMENTARY,North Carolina,10.92
COVINGTON STREET ELEMENTARY,North Carolina,14.79
COX MILL ELEMENTARY,North Carolina,18.20
COX MILL HIGH SCHOOL,North Carolina,19.23
CRAIN'S CREEK MIDDLE,North Carolina,14.92
CRAMERTON MIDDLE,North Carolina,19.49
CRANBERRY MIDDLE,North Carolina,13.37
CRAVEN EARLY COLLEGE HIGH,North Carolina,16.24
CREECH ROAD ELEMENTARY,North Carolina,14.30
CREEDMOOR ELEMENTARY,North Carolina,15.98
CREEKSIDE ELEMENTARY,North Carolina,17.47
CREEKSIDE ELEMENTARY,North Carolina,15.40
CREEKSIDE ELEMENTARY,North Carolina,14.34
CREST HIGH,North Carolina,15.01
CREST MIDDLE,North Carolina,15.32
CRESTDALE MIDDLE,North Carolina,19.51
CRESWELL ELEMENTARY,North Carolina,15.53
CRESWELL HIGH,North Carolina,9.69
CROATAN HIGH,North Carolina,15.69
CROFT COMMUNITY ELEMENTARY,North Carolina,18.32
CROSS CREEK EARLY COLLEGE,North Carolina,16.47
CROSSCREEK CHARTER SCHOOL,North Carolina,13.21
CROSSNORE ACADEMY,North Carolina,6.94
CROSSNORE ELEMENTARY,North Carolina,13.19
CROSSROADS CHARTER HIGH,North Carolina,587.10
CROWN POINT ELEMENTARY,North Carolina,18.29
CS BROWN HIGH,North Carolina,7.17
CULBRETH MIDDLE,North Carolina,12.18
CULLOWHEE VALLEY SCHOOL,North Carolina,13.40
CUMBERLAND INTERNATIONAL EARLY COLLEGEHS,North Carolina,18.00
CUMBERLAND MILLS ELEMENTARY,North Carolina,14.65
CUMBERLAND ROAD ELEMENTARY,North Carolina,13.52
CURRITUCK COUNTY HIGH,North Carolina,14.62
CURRITUCK COUNTY MIDDLE,North Carolina,16.95
CUTHBERTSON HIGH,North Carolina,20.81
CUTHBERTSON MIDDLE,North Carolina,18.98
CYRUS P FRAZIER ELEMENTARY,North Carolina,12.17
D F WALKER ELEMENTARY,North Carolina,14.87
D H CONLEY HIGH,North Carolina,18.46
D S JOHNSON ELEMENTARY,North Carolina,17.53
