School Name,State Name [Public School] Latest available year,Pupil/Teacher Ratio [Public School] 2014-15
HUNTERSVILLE ELEMENTARY,North Carolina,17.24
HUNTINGTOWNE FARMS ELEMENTARY,North Carolina,15.69
HUNTSVILLE ELEMENTARY,North Carolina,15.78
HURLEY ELEMENTARY,North Carolina,16.51
I E JOHNSON ELEMENTARY,North Carolina,15.61
IBRAHAM ELEMENTARY,North Carolina,11.88
ICARD ELEMENTARY,North Carolina,12.95
IDA RANKIN ELEMENTARY SCHOOL,North Carolina,19.11
IDLEWILD ELEMENTARY,North Carolina,16.78
IGNITE INNOVATION ACADEMY - PITT,NORTH CAROLINA,†
INBORDEN ELEMENTARY,North Carolina,14.71
INDEPENDENCE HIGH,North Carolina,18.24
INDIAN TRAIL ELEMENTARY,North Carolina,16.28
INVEST COLLEGIATE,North Carolina,15.27
INVEST COLLEGIATE (BUNCOMBE),North Carolina,15.57
IOTLA VALLEY ELEMENTARY,North Carolina,12.54
IRA B JONES ELEMENTARY,North Carolina,13.85
IRELAND DRIVE MIDDLE,North Carolina,14.79
IRON STATION ELEMENTARY,North Carolina,12.55
IRVING PARK ELEMENTARY,North Carolina,16.92
IRWIN ACADEMIC CENTER,North Carolina,16.50
ISAAC DICKSON ELEMENTARY,North Carolina,15.31
ISAAC M BEAR HIGH,North Carolina,23.10
ISENBERG ELEMENTARY,North Carolina,15.19
ISLAND MONTESSORI CHARTER,North Carolina,12.15
J B PAGE PRIMARY SCHOOL,North Carolina,19.08
J C SAWYER ELEMENTARY,North Carolina,17.10
J D CLEMENT EARLY COLLEGE HS,North Carolina,24.28
J E HOLMES MIDDLE,North Carolina,15.88
J F KENNEDY HIGH,North Carolina,7.55
J GLENN EDWARDS ELEMENTARY,North Carolina,17.35
J H GUNN ELEMENTARY,North Carolina,16.26
J M ALEXANDER MIDDLE,North Carolina,21.11
J N FRIES MAGNET SCHOOL,North Carolina,14.57
J R INGRAM JR ELEMENTARY,North Carolina,16.20
J S WATERS SCHOOL,North Carolina,13.56
J SAM GENTRY MIDDLE,North Carolina,14.14
J T BARBER ELEMENTARY,North Carolina,11.78
J W COON ELEMENTARY,North Carolina,9.82
J W MCLAUCHLIN ELEMENTARY,North Carolina,14.00
J W PARKER MIDDLE,North Carolina,15.78
J W SEABROOK ELEMENTARY,North Carolina,13.03
J W TURLINGTON SCHOOL,North Carolina,4.90
J. F. WEBB HIGH,North Carolina,15.14
J.V. WASHAM ELEMENTARY,North Carolina,19.91
JACK BRITT HIGH,North Carolina,17.56
JACKET ACADEMY AT CARVER,North Carolina,†
JACKSON CO EARLY COLLEGE,North Carolina,35.37
JACKSON CO SCH OF ALTERNATIVES,North Carolina,6.04
JACKSON MIDDLE,North Carolina,14.67
JACKSON PARK ELEMENTARY,North Carolina,13.58
JACKSONVILLE COMMONS ELEM,North Carolina,14.09
JACKSONVILLE COMMONS MIDDLE,North Carolina,18.94
JACKSONVILLE HIGH,North Carolina,17.53
JACOBS FORK MIDDLE,North Carolina,16.56
JAMES B DUDLEY HIGH,North Carolina,15.52
JAMES E SHEPARD MIDDLE,North Carolina,14.97
JAMES HUNT HIGH,North Carolina,17.73
JAMES KENAN HIGH,North Carolina,17.40
JAMES LOVE ELEMENTARY,North Carolina,14.27
JAMES MARTIN MIDDLE,North Carolina,20.30
JAMES W SMITH ELEMENTARY,North Carolina,17.92
JAMES Y JOYNER ELEMENTARY,North Carolina,14.44
JAMESTOWN ELEMENTARY,North Carolina,16.57
JAMESTOWN MIDDLE,North Carolina,17.27
JAMESVILLE ELEMENTARY,North Carolina,12.30
JAMESVILLE MIDDLE,North Carolina,†
JANIE C HARGRAVE ELEM,North Carolina,16.55
JARVISBURG ELEMENTARY,North Carolina,17.40
JAY M ROBINSON HIGH,North Carolina,15.54
JAY M ROBINSON MIDDLE,North Carolina,21.28
JEFFERSON ELEMENTARY,North Carolina,14.75
JEFFERSON ELEMENTARY,North Carolina,15.56
JEFFERSON ELEMENTARY,North Carolina,14.93
JEFFREYS GROVE ELEMENTARY,North Carolina,14.48
JESSE WHARTON ELEM,North Carolina,15.63
JESSIE MAE MONROE ELEMENTARY,North Carolina,15.93
JF WEBB HS OF HEALTH AND LIFE SCIENCES,North Carolina,27.64
JIMMY C DRAUGHN HIGH SCHOOL,North Carolina,16.77
JOE TOLER-OAK HILL ELEMENTARY,North Carolina,15.10
JOHN A HOLMES HIGH,North Carolina,14.50
JOHN C TAYLOE ELEMENTARY,North Carolina,14.51
JOHN CHAVIS MIDDLE SCHOOL,North Carolina,15.19
JOHN J BLAIR ELEMENTARY,North Carolina,16.71
JOHN M MOREHEAD HIGH,North Carolina,18.02
JOHN R GRIFFIN MIDDLE,North Carolina,16.77
JOHN R LAWRENCE ELEMENTARY,North Carolina,16.04
JOHN SMALL ELEMENTARY,North Carolina,14.29
JOHN T HOGGARD HIGH,North Carolina,18.90
JOHN VAN LINDLEY ELEMENTARY,North Carolina,16.13
JOHN W DILLARD ELEMENTARY,North Carolina,13.23
JOHN W JONES ELEMENTARY,North Carolina,17.05
JOHNSON STREET GLOBAL STUDIES,North Carolina,12.17
JOHNSONVILLE ELEMENTARY,North Carolina,16.82
JOHNSTON CO EARLY COLLEGE ACADEMY,North Carolina,26.38
JOHNSTON CO MIDDLE COLLEGE,North Carolina,16.83
JOHNSTON ELEMENTARY,North Carolina,12.52
JONATHAN VALLEY ELEMENTARY,North Carolina,14.27
JONES DAIRY ELEMENTARY,North Carolina,16.10
JONES ELEMENTARY,North Carolina,14.91
JONES MIDDLE,North Carolina,12.51
JONES SENIOR HIGH,North Carolina,12.11
JONESVILLE ELEMENTARY,North Carolina,15.75
JORDAN MATTHEWS HIGH,North Carolina,13.78
JOSEPH W GRIER ACADEMY,North Carolina,15.53
JOYNER ELEMENTARY,North Carolina,14.82
JULIUS I FOUST ELEMENTARY,North Carolina,12.88
JUNALUSKA ELEMENTARY,North Carolina,13.74
JUNIUS H ROSE HIGH,North Carolina,15.96
KANNAPOLIS INTERMEDIATE,North Carolina,14.57
KANNAPOLIS MIDDLE,North Carolina,17.83
KENANSVILLE ELEMENTARY,North Carolina,12.41
KENNEDY CHARTER PUBLIC SCHOOL,North Carolina,10.14
KENNEDY MIDDLE,North Carolina,16.78
KENSINGTON ELEMENTARY,North Carolina,16.26
KERNERSVILLE ELEMENTARY,North Carolina,13.57
KERNERSVILLE MIDDLE,North Carolina,16.41
KERNODLE MIDDLE,North Carolina,17.06
KESTREL HEIGHTS SCHOOL,North Carolina,15.53
KIMBERLEY PARK ELEMENTARY,North Carolina,14.74
KIMMEL FARM ELEMENTARY,North Carolina,17.74
KING ELEMENTARY,North Carolina,13.98
KINGS CREEK ELEMENTARY,North Carolina,14.30
KINGS MOUNTAIN HIGH,North Carolina,14.65
KINGS MOUNTAIN INTERMEDIATE,North Carolina,16.57
KINGS MOUNTAIN MIDDLE,North Carolina,15.09
KINGSWOOD ELEMENTARY,North Carolina,12.31
KINGSWOOD SCHOOL,North Carolina,3.74
KINSTON HIGH,North Carolina,15.53
KIPP CHARLOTTE,North Carolina,19.52
KIPP DURHAM COLLEGE PREPARATORY,NORTH CAROLINA,†
KIPP HALIFAX COLLEGE PREPARATORY,North Carolina,11.69
KIRKMAN PARK ELEMENTARY,North Carolina,13.62
KISER ELEMENTARY,North Carolina,19.85
KISER INTERMEDIATE,North Carolina,12.73
KISER MIDDLE,North Carolina,16.24
KITTY HAWK ELEMENTARY SCHOOL,North Carolina,15.30
KNIGHTDALE ELEMENTARY,North Carolina,13.89
KNIGHTDALE HIGH,North Carolina,16.73
KNOLLWOOD ELEMENTARY,North Carolina,15.35
KNOTTS ISLAND ELEMENTARY,North Carolina,10.53
KNOX MIDDLE,North Carolina,15.49
KONNOAK ELEMENTARY,North Carolina,13.37
KOONTZ ELEMENTARY,North Carolina,15.89
KOONTZ INTERMEDIATE,North Carolina,15.05
L B YANCEY ELEMENTARY,North Carolina,12.71
L GILBERT CARROLL MIDDLE,North Carolina,14.85
L J BELL ELEMENTARY,North Carolina,15.39
LACY ELEMENTARY,North Carolina,15.49
LAFAYETTE ELEMENTARY,North Carolina,17.31
LAGRANGE ELEMENTARY,North Carolina,16.41
LAKE FOREST ACADEMY,North Carolina,4.09
LAKE LURE CLASSICAL ACADEMY,North Carolina,12.40
LAKE MYRA ELEMENTARY,North Carolina,13.57
LAKE NORMAN CHARTER,North Carolina,17.51
LAKE NORMAN ELEMENTARY,North Carolina,17.37
LAKE NORMAN HIGH,North Carolina,21.07
LAKE RIM ELEMENTARY,North Carolina,15.37
LAKE WYLIE ELEMENTARY,North Carolina,16.07
LAKEFOREST ELEMENTARY,North Carolina,16.94
LAKESHORE ELEMENTARY,North Carolina,15.80
LAKESHORE MIDDLE,North Carolina,17.66
LAKESIDE,North Carolina,2.78
LAKEVIEW SCHOOL,North Carolina,4.45
LAKEWOOD ELEMENTARY,North Carolina,12.75
LAKEWOOD HIGH,North Carolina,13.79
LAKEWOOD MONTESSORI MIDDLE,North Carolina,14.30
LANDIS ELEMENTARY,North Carolina,15.37
LANGDON C KERR ELEMENTARY,North Carolina,15.71
LANGTREE CHARTER ACADEMY,North Carolina,17.18
LANSDOWNE ELEMENTARY,North Carolina,15.57
LAUREL ELEMENTARY,North Carolina,13.14
LAUREL HILL ELEMENTARY,North Carolina,14.56
LAUREL MILL ELEMENTARY,North Carolina,13.98
LAUREL PARK ELEMENTARY,North Carolina,16.64
LAWRENCE ORR ELEMENTARY,NORTH CAROLINA,†
LAWSONVILLE ELEMENTARY,North Carolina,15.18
LCST,North Carolina,–
LEAD MINE ELEMENTARY,North Carolina,14.20
LEAK STREET HIGH,North Carolina,10.67
LEAKSVILLE-SPRAY ELEMENTARY,North Carolina,15.25
LEBANON ROAD ELEMENTARY,North Carolina,14.36
LEDFORD MIDDLE,North Carolina,17.45
LEDFORD SENIOR HIGH,North Carolina,18.83
LEE COUNTY HIGH,North Carolina,15.92
LEE EARLY COLLEGE,North Carolina,24.00
LEE WOODARD ELEMENTARY,North Carolina,18.22
LEESVILLE ROAD ELEMENTARY,North Carolina,15.71
LEESVILLE ROAD HIGH,North Carolina,18.68
LEESVILLE ROAD MIDDLE,North Carolina,17.94
LEICESTER ELEMENTARY,North Carolina,13.82
LELAND MIDDLE,North Carolina,15.05
LENOIR COUNTY EARLY COLLEGE HIGH,North Carolina,20.51
LENOIR COUNTY LEARNING ACADEMY,North Carolina,6.10
LEVEL CROSS ELEMENTARY,North Carolina,14.24
LEVINE MIDDLE COLLEGE HIGH,North Carolina,28.07
LEWIS CHAPEL MIDDLE,North Carolina,14.56
LEWISVILLE ELEMENTARY,North Carolina,17.15
LEXINGTON MIDDLE SCHOOL,North Carolina,16.10
LEXINGTON SENIOR HIGH,North Carolina,14.74
LIBERTY DRIVE ELEMENTARY,North Carolina,13.71
LIBERTY ELEMENTARY,North Carolina,15.20
LIBERTY MIDDLE,North Carolina,16.79
LIGON MIDDLE,North Carolina,16.79
LILESVILLE ELEMENTARY,North Carolina,16.88
LILLIAN BLACK ELEMENTARY,North Carolina,12.39
LILLINGTON-SHAWTOWN ELEMENTARY,North Carolina,12.56
LINCOLN ACADEMY,North Carolina,17.38
LINCOLN CHARTER SCHOOL,North Carolina,16.77
LINCOLN ELEMENTARY,North Carolina,16.06
LINCOLN ELEMENTARY,North Carolina,15.25
LINCOLN HEIGHTS ACADEMY,North Carolina,5.99
LINCOLN HEIGHTS ELEMENTARY,North Carolina,12.82
LINCOLNTON HIGH,North Carolina,15.44
LINCOLNTON MIDDLE,North Carolina,15.03
LINDLEY PARK ELEMENTARY,North Carolina,14.24
LINGERFELDT ELEMENTARY,North Carolina,15.02
LITTLE RIVER ELEMENTARY,North Carolina,16.13
LITTLEFIELD MIDDLE,North Carolina,15.85
LOCKHART ELEMENTARY,North Carolina,13.92
LOCUST ELEMENTARY,North Carolina,16.33
LONDON ELEMENTARY,North Carolina,14.12
LONG BRANCH ELEMENTARY,North Carolina,17.57
LONG CREEK ELEMENTARY,North Carolina,14.44
LONG CREEK MONTESSORI,North Carolina,15.37
LONG HILL ELEMENTARY,North Carolina,15.75
LONG MILL ELEMENTARY,North Carolina,14.82
LONG SCHOOL,North Carolina,†
LONGLEAF SCHOOL OF THE ARTS,North Carolina,12.14
LONGVIEW,North Carolina,3.19
LONGVIEW ELEMENTARY,North Carolina,17.45
LOUISBURG ELEMENTARY,North Carolina,13.31
LOUISBURG HIGH,North Carolina,12.97
LOVE MEMORIAL ELEMENTARY,North Carolina,11.83
LOWE'S GROVE MIDDLE,North Carolina,14.88
LOWELL ELEMENTARY,North Carolina,17.27
LOWER CREEK ELEMENTARY,North Carolina,16.95
LOWRANCE MIDDLE,North Carolina,4.79
LOYD E AUMAN ELEMENTARY,North Carolina,14.58
LUCAMA ELEMENTARY,North Carolina,18.92
LUCAS MIDDLE,North Carolina,15.13
LUCILE SOUDERS ELEMENTARY,North Carolina,15.60
LUCY RAGSDALE HIGH,North Carolina,16.85
LUFKIN ROAD MIDDLE,North Carolina,17.27
LUMBERTON JUNIOR HIGH,North Carolina,14.59
LUMBERTON SENIOR HIGH,North Carolina,15.36
LUTHER 'NICK' JERALDS MIDDLE,North Carolina,14.20
LYLE CREEK ELEMENTARY,North Carolina,14.21
LYNN ROAD ELEMENTARY,North Carolina,13.59
M B HUBBARD ELEMENTARY,North Carolina,16.64
M C S NOBLE MIDDLE,North Carolina,17.12
MABEL ELEMENTARY,North Carolina,9.32
MAC WILLIAMS MIDDLE,North Carolina,16.59
MACON EARLY COLLEGE HIGH SCHOOL,North Carolina,45.75
MACON MIDDLE SCHOOL,North Carolina,13.56
MADISON EARLY COLLEGE HIGH,North Carolina,25.06
MADISON ELEMENTARY,North Carolina,15.32
MADISON HIGH,North Carolina,11.68
MADISON MIDDLE,North Carolina,15.14
MAGELLAN CHARTER,North Carolina,15.03
MAGNOLIA ELEMENTARY,North Carolina,17.83
MAIDEN ELEMENTARY,North Carolina,14.77
MAIDEN HIGH,North Carolina,16.26
MAIDEN MIDDLE SCHOOL,North Carolina,17.16
MAIN STREET ACADEMY,North Carolina,2.23
MALLARD CREEK ELEMENTARY,North Carolina,17.27
MALLARD CREEK HIGH,North Carolina,20.05
MALPASS CORNER ELEMENTARY,North Carolina,13.90
MANCHESTER ELEMENTARY,North Carolina,14.72
MANGUM ELEMENTARY,North Carolina,15.26
MANTEO ELEMENTARY SCHOOL,North Carolina,14.46
MANTEO HIGH SCHOOL,North Carolina,12.21
MANTEO MIDDLE SCHOOL,North Carolina,11.93
MARBLE ELEMENTARY,North Carolina,12.00
MARGARET B. POLLARD MIDDLE,North Carolina,16.41
MARGARET HEARNE ELEMENTARY,North Carolina,15.94
MARGARET WILLIS ELEMENTARY,North Carolina,12.68
MARIAM BOYD ELEMENTARY,North Carolina,17.61
MARION ELEMENTARY,North Carolina,14.35
MARION ELEMENTARY,North Carolina,12.88
MARS HILL ELEMENTARY,North Carolina,14.50
MARSHVILLE ELEMENTARY,North Carolina,10.28
MARTIN LUTHER KING JR MIDDLE,North Carolina,19.12
MARTIN MIDDLE,North Carolina,14.72
MARTIN MILLENNIUM ACADEMY,NORTH CAROLINA,13.07
MARTINS CREEK ELEMENTARY/MID,North Carolina,12.48
MARVIN B SMITH ELEMENTARY,North Carolina,14.85
MARVIN ELEMENTARY,North Carolina,16.13
MARVIN RIDGE HIGH,North Carolina,19.96
MARVIN RIDGE MIDDLE,North Carolina,18.47
MARY C WILLIAMS ELEMENTARY,North Carolina,13.19
MARY MCARTHUR ELEMENTARY,North Carolina,13.23
MARY POTTER MIDDLE,North Carolina,16.90
MARY SIDBERRY MOSLEY PLC,North Carolina,6.33
MASSEY HILL CLASSICAL HIGH,North Carolina,15.99
MATTAMUSKEET EARLY COLLEGE HIGH,North Carolina,10.59
MATTAMUSKEET ELEMENTARY,North Carolina,12.82
MATTHEWS ELEMENTARY,North Carolina,19.71
MAUREEN JOY CHARTER SCHOOL,North Carolina,12.57
MAYLAND EARLY COLLEGE,North Carolina,17.50
MAYSVILLE ELEMENTARY,North Carolina,11.89
MCADENVILLE ELEMENTARY,North Carolina,12.77
MCALPINE ELEMENTARY,North Carolina,15.11
MCCLINTOCK MIDDLE,North Carolina,15.36
MCDOUGLE ELEMENTARY,North Carolina,12.53
MCDOUGLE MIDDLE,North Carolina,12.53
MCDOWELL AEC,NORTH CAROLINA,4.92
MCDOWELL EARLY COLLEGE,North Carolina,19.27
MCDOWELL HIGH,North Carolina,16.08
MCGEE'S CROSSROADS ELEM,North Carolina,16.38
MCGEE'S CROSSROADS MIDDLE,North Carolina,18.27
MCKEE ROAD ELEMENTARY,North Carolina,16.23
MCLEANSVILLE ELEMENTARY,North Carolina,15.58
MEADOW LANE ELEMENTARY,North Carolina,15.39
MEADOW SCHOOL,North Carolina,15.17
MEADOW VIEW ELEMENTARY,North Carolina,16.38
MEADOWBROOK ACADEMY,North Carolina,8.14
MEADOWBROOK ELEMENTARY,North Carolina,14.35
MEADOWLARK ELEMENTARY,North Carolina,15.51
MEADOWLARK MIDDLE,North Carolina,18.63
MEADOWVIEW MIDDLE,North Carolina,13.74
MENDENHALL MIDDLE,North Carolina,18.44
MERRICK-MOORE ELEMENTARY,North Carolina,15.21
MERRY OAKS ELEMENTARY,North Carolina,14.43
METRO SCHOOL,North Carolina,6.49
METROLINA REG SCHOLARS ACADEMY,North Carolina,13.38
MG DAVIS MILITARY & GLOBAL LEAD ACADEMY,North Carolina,12.75
MICAVILLE ELEMENTARY,North Carolina,11.90
MICRO-PINE LEVEL ELEMENTARY,North Carolina,14.73
MIDDLE COLLEGE AT GTCC-GSO,North Carolina,15.01
MIDDLE COLLEGE GTCC HIGH POINT,North Carolina,12.54
MIDDLE COLLEGE HIGH @ NC A&T,North Carolina,7.64
MIDDLE COLLEGE HIGH AT BENNETT,North Carolina,11.15
MIDDLE COLLEGE HS @ DTCC,North Carolina,27.82
MIDDLE COLLEGE OF FORSYTH CNTY,North Carolina,16.23
MIDDLE CREEK ELEMENTARY,North Carolina,15.04
MIDDLE CREEK HIGH,North Carolina,18.74
MIDDLE FORK ELEMENTARY,North Carolina,13.67
MIDDLESEX ELEMENTARY,North Carolina,15.20
MIDWAY ELEMENTARY,North Carolina,17.91
MIDWAY ELEMENTARY,North Carolina,14.86
MIDWAY HIGH,North Carolina,15.56
MIDWAY MIDDLE,North Carolina,17.28
MILL CREEK MIDDLE,North Carolina,17.59
MILLBRIDGE ELEMENTARY,North Carolina,16.71
MILLBROOK ELEMENTARY,North Carolina,13.76
MILLBROOK HIGH,North Carolina,17.73
MILLENNIUM CHARTER ACADEMY,North Carolina,15.34
MILLERS CREEK ELEMENTARY,North Carolina,16.54
MILLINGPORT ELEMENTARY,North Carolina,12.84
MILLIS ROAD ELEMENTARY,North Carolina,17.51
MILLS PARK ELEMENTARY,North Carolina,17.03
MILLS PARK MIDDLE,North Carolina,18.83
MILLS RIVER ELEMENTARY,North Carolina,15.76
MILTON M DANIELS LEARNING CNTR,North Carolina,9.14
MINERAL SPRINGS ELEMENTARY,North Carolina,13.02
MINERAL SPRINGS ELEMENTARY,North Carolina,14.82
MINERAL SPRINGS MIDDLE,North Carolina,11.10
MINT HILL MIDDLE,North Carolina,19.29
MITCHELL HIGH,North Carolina,13.03
MOCKSVILLE ELEMENTARY,North Carolina,13.95
MONCURE SCHOOL,North Carolina,16.04
MONROE AVENUE ELEMENTARY,North Carolina,14.55
MONROE HIGH,North Carolina,14.40
MONROE MIDDLE,North Carolina,15.68
MONROETON ELEMENTARY,North Carolina,15.36
MONTCLAIR ELEMENTARY,North Carolina,12.24
MONTCLAIRE ELEMENTARY,North Carolina,13.92
MONTGOMERY LEARNING ACADEMY,North Carolina,7.26
MONTICELLO SCHOOL,North Carolina,8.84
MONTICELLO-BROWN SUMMIT ELEM,North Carolina,16.39
MONTLIEU ACADEMY OF TECHNOLOGY,North Carolina,15.70
MOORE MAGNET ELEMENTARY,North Carolina,15.22
MOORE SQUARE MUSEUM MAGNET MIDDLE,North Carolina,11.72
MOORESVILLE INTERMEDIATE,North Carolina,17.68
MOORESVILLE MIDDLE,North Carolina,19.21
MOORESVILLE SENIOR HIGH,North Carolina,22.76
MORAVIAN FALLS ELEMENTARY,North Carolina,15.97
MOREHEAD CITY MIDDLE,North Carolina,13.08
MOREHEAD CITY PRIMARY,North Carolina,12.42
MOREHEAD ELEM AT CAMP GLENN,North Carolina,12.40
MOREHEAD ELEMENTARY,North Carolina,16.86
MOREHEAD MONTESSORI,North Carolina,14.09
MOREHEAD STEM ACADEMY,North Carolina,18.21
MORGAN ELEMENTARY,North Carolina,14.35
MORGANTON ROAD ELEMENTARY,North Carolina,13.64
MORRIS GROVE ELEMENTARY,North Carolina,14.51
MORRISVILLE ELEMENTARY,North Carolina,15.57
MORTON ELEMENTARY,North Carolina,13.90
MORVEN ELEMENTARY,North Carolina,12.91
MOSS HILL ELEMENTARY,North Carolina,14.73
MOSS STREET ELEMENTARY,North Carolina,15.45
MOUNT AIRY HIGH,North Carolina,13.52
MOUNT AIRY MIDDLE,North Carolina,13.57
MOUNT ENERGY ELEMENTARY,North Carolina,15.09
MOUNT GILEAD ELEMENTARY,North Carolina,13.02
MOUNT HOLLY MIDDLE,North Carolina,18.67
MOUNT MOURNE SCHOOL,North Carolina,16.69
MOUNT OLIVE ELEMENTARY,North Carolina,16.61
MOUNT OLIVE MIDDLE,North Carolina,16.41
MOUNT PLEASANT ELEMENTARY,North Carolina,17.45
MOUNT PLEASANT ELEMENTARY,North Carolina,15.94
MOUNT PLEASANT HIGH,North Carolina,14.89
MOUNT PLEASANT MIDDLE,North Carolina,14.94
MOUNT TABOR HIGH SCHOOL,North Carolina,18.89
MOUNT VERNON,North Carolina,3.30
MOUNTAIN CREST ELEMENTARY,North Carolina,15.67
MOUNTAIN DISCOVERY CHARTER,North Carolina,13.55
MOUNTAIN HERITAGE HIGH,North Carolina,12.37
MOUNTAIN ISLAND CHARTER,North Carolina,17.10
MOUNTAIN ISLAND ELEMENTARY,North Carolina,15.16
MOUNTAIN PARK ELEMENTARY,North Carolina,13.20
MOUNTAIN VIEW ELEMENTARY,North Carolina,16.70
MOUNTAIN VIEW ELEMENTARY,North Carolina,16.92
MOUNTAIN VIEW ELEMENTARY,North Carolina,13.61
MOUNTAIN VIEW INTERMEDIATE,North Carolina,14.96
MOUNTAIN YOUTH SCHOOL,North Carolina,6.52
MOYOCK ELEMENTARY,North Carolina,17.21
MOYOCK MIDDLE,North Carolina,14.36
MT ULLA ELEMENTARY,North Carolina,14.81
MT VERNON-RUTH ELEMENTARY SCHOOL,North Carolina,16.79
MULBERRY ELEMENTARY,North Carolina,15.27
MULL ELEMENTARY,North Carolina,14.49
MURPHEY TRADITIONAL ACADEMY,North Carolina,12.33
MURPHY ELEMENTARY,North Carolina,13.48
MURPHY HIGH,North Carolina,14.70
MURPHY MIDDLE,North Carolina,16.18
MURRAYVILLE ELEMENTARY,North Carolina,16.55
MYERS PARK HIGH,North Carolina,19.05
MYERS PARK TRADITIONAL,North Carolina,19.16
MYRTLE GROVE MIDDLE,North Carolina,15.92
N B MILLS ELEMENTARY,North Carolina,13.81
N L DILLARD MIDDLE,North Carolina,14.70
NAGS HEAD ELEMENTARY SCHOOL,North Carolina,15.63
NAKINA MIDDLE,North Carolina,16.85
NANCY REYNOLDS ELEMENTARY,North Carolina,17.00
NANTAHALA SCHOOL,North Carolina,7.17
NASH CENTRAL HIGH,North Carolina,17.97
NASH CENTRAL MIDDLE,North Carolina,16.50
NASHVILLE ELEMENTARY,North Carolina,17.83
NATHANAEL GREENE ELEMENTARY,North Carolina,15.60
NATHANIEL ALEXANDER ELEMENTARY,North Carolina,15.27
NATIONS FORD ELEMENTARY,North Carolina,15.99
NC CONNECTIONS ACADEMY,NORTH CAROLINA,†
NC SCHOOL FOR THE DEAF,North Carolina,2.78
NCVPS,North Carolina,–
NEAL MIDDLE,North Carolina,14.17
NEBO ELEMENTARY,North Carolina,13.86
NEEDHAM BROUGHTON HIGH,North Carolina,16.65
NEUSE CHARTER SCHOOL,North Carolina,13.82
NEW BERN HIGH,North Carolina,16.97
NEW BRIDGE MIDDLE,North Carolina,16.03
NEW CENTURY INTERNATIONAL ELEMENTARY,North Carolina,14.26
NEW CENTURY INTERNATIONAL MIDDLE,North Carolina,17.50
NEW CENTURY MIDDLE,North Carolina,16.59
NEW DIMENSIONS,North Carolina,11.82
NEW HANOVER HIGH,North Carolina,16.15
NEW HOPE ELEMENTARY,North Carolina,17.25
NEW HOPE ELEMENTARY,North Carolina,12.66
NEW HOPE ELEMENTARY,North Carolina,11.66
NEW HOPE ELEMENTARY,North Carolina,19.59
NEW MARKET ELEMENTARY,North Carolina,15.53
NEW SALEM ELEMENTARY,North Carolina,15.79
NEW TOWN ELEMENTARY,North Carolina,18.89
NEW VISION SCH.OF MATH/SCI/TEC,North Carolina,17.07
NEWELL ELEMENTARY,North Carolina,17.25
NEWLAND ELEMENTARY,North Carolina,11.71
NEWPORT ELEMENTARY,North Carolina,11.28
NEWPORT MIDDLE,North Carolina,12.79
NEWTON-CONOVER HIGH,North Carolina,15.06
NEWTON-CONOVER MIDDLE,North Carolina,17.34
NF WOODS ADV TECH AND ARTS CENTER,North Carolina,–
NORTH ASHEBORO MIDDLE,North Carolina,12.33
NORTH BELMONT ELEMENTARY,North Carolina,16.11
NORTH BROOK ELEMENTARY,North Carolina,13.17
NORTH BRUNSWICK HIGH,North Carolina,15.63
NORTH BUNCOMBE ELEMENTARY,North Carolina,15.64
NORTH BUNCOMBE HIGH,North Carolina,17.64
NORTH BUNCOMBE MIDDLE,North Carolina,14.37
NORTH CANTON ELEMENTARY,North Carolina,12.74
NORTH CAROLINA VIRTUAL ACADEMY,NORTH CAROLINA,†
NORTH CHATHAM ELEMENTARY,North Carolina,14.78
NORTH COVE ELEMENTARY,North Carolina,12.62
NORTH DAVIDSON HIGH,North Carolina,17.34
NORTH DAVIDSON MIDDLE,North Carolina,16.63
NORTH DAVIE MIDDLE,North Carolina,12.89
NORTH DRIVE ELEMENTARY,North Carolina,13.58
NORTH DUPLIN ELEMENTARY,North Carolina,16.26
NORTH DUPLIN JR SR HIGH,North Carolina,17.03
NORTH EAST CAROLINA PREP,North Carolina,15.46
NORTH EDGECOMBE HIGH,North Carolina,10.40
NORTH ELEMENTARY,North Carolina,13.95
NORTH ELEMENTARY,North Carolina,15.71
NORTH ELEMENTARY,North Carolina,14.07
NORTH END ELEMENTARY,North Carolina,14.50
NORTH FOREST PINES DRIVE ELEMENTARY,North Carolina,15.50
NORTH FORSYTH HIGH,North Carolina,15.57
NORTH GARNER MIDDLE,North Carolina,15.84
NORTH GASTON HIGH,North Carolina,18.00
NORTH GRAHAM ELEMENTARY,North Carolina,11.67
NORTH HARNETT PRIMARY,North Carolina,13.09
NORTH HENDERSON HIGH,North Carolina,16.08
NORTH HILLS ELEMENTARY,North Carolina,13.64
NORTH IREDELL HIGH,North Carolina,17.99
NORTH IREDELL MIDDLE,North Carolina,15.17
NORTH JOHNSTON HIGH,North Carolina,13.89
NORTH JOHNSTON MIDDLE,North Carolina,17.24
NORTH LAURINBURG ELEMENTARY,North Carolina,10.96
NORTH LENOIR HIGH,North Carolina,16.09
NORTH LIBERTY,North Carolina,8.02
NORTH LINCOLN HIGH,North Carolina,17.49
NORTH LINCOLN MIDDLE,North Carolina,16.65
NORTH MECKLENBURG HIGH,North Carolina,18.46
NORTH MOORE HIGH,North Carolina,17.17
NORTH NEWTON ELEMENTARY,North Carolina,16.53
NORTH PITT HIGH,North Carolina,16.00
NORTH RIDGE ELEMENTARY,North Carolina,15.30
NORTH ROWAN ELEMENTARY,North Carolina,14.45
